nohup: ignoring input
WARNING:tensorflow:From /data3T/zml/experiment/lw-eg-recurren-bilater-distill/monodepth_model.py:240: calling reduce_mean (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
/data3T/users/zml/.conda/envs/leftmono/lib/python2.7/site-packages/tensorflow/python/ops/gradients_impl.py:97: UserWarning: Converting sparse IndexedSlices to a dense Tensor of unknown shape. This may consume a large amount of memory.
  "Converting sparse IndexedSlices to a dense Tensor of unknown shape. "
2020-04-10 14:27:30.921640: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2020-04-10 14:27:31.374804: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.683
pciBusID: 0000:05:00.0
totalMemory: 10.92GiB freeMemory: 10.77GiB
2020-04-10 14:27:31.374843: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:05:00.0, compute capability: 6.1)
total number of samples: 29000
total number of steps: 50750
============================
2
number of trainable parameters: 23747176
batch    100 | examples/s: 9.65 | loss: 1.64691 | time elapsed: 0.02h | time left: 10.39h
batch    200 | examples/s: 9.49 | loss: 1.36272 | time elapsed: 0.03h | time left: 8.47h
batch    300 | examples/s: 9.57 | loss: 1.16017 | time elapsed: 0.05h | time left: 7.61h
batch    400 | examples/s: 9.33 | loss: 1.15333 | time elapsed: 0.06h | time left: 7.18h
batch    500 | examples/s: 9.47 | loss: 1.13537 | time elapsed: 0.07h | time left: 6.91h
batch    600 | examples/s: 9.34 | loss: 0.94819 | time elapsed: 0.08h | time left: 6.73h
batch    700 | examples/s: 9.29 | loss: 1.28255 | time elapsed: 0.09h | time left: 6.60h
batch    800 | examples/s: 9.39 | loss: 1.17821 | time elapsed: 0.10h | time left: 6.49h
batch    900 | examples/s: 9.56 | loss: 1.06954 | time elapsed: 0.12h | time left: 6.41h
batch   1000 | examples/s: 9.49 | loss: 1.60488 | time elapsed: 0.13h | time left: 6.34h
batch   1100 | examples/s: 9.50 | loss: 1.28199 | time elapsed: 0.14h | time left: 6.28h
batch   1200 | examples/s: 9.52 | loss: 1.14902 | time elapsed: 0.15h | time left: 6.23h
batch   1300 | examples/s: 9.36 | loss: 1.30827 | time elapsed: 0.16h | time left: 6.19h
batch   1400 | examples/s: 9.50 | loss: 1.12457 | time elapsed: 0.17h | time left: 6.15h
batch   1500 | examples/s: 9.45 | loss: 1.14281 | time elapsed: 0.19h | time left: 6.11h
batch   1600 | examples/s: 9.41 | loss: 1.06903 | time elapsed: 0.20h | time left: 6.08h
batch   1700 | examples/s: 9.62 | loss: 1.31636 | time elapsed: 0.21h | time left: 6.05h
batch   1800 | examples/s: 9.70 | loss: 0.80971 | time elapsed: 0.22h | time left: 6.02h
batch   1900 | examples/s: 9.57 | loss: 1.26319 | time elapsed: 0.23h | time left: 5.99h
batch   2000 | examples/s: 9.50 | loss: 1.33654 | time elapsed: 0.24h | time left: 5.97h
batch   2100 | examples/s: 9.46 | loss: 0.83697 | time elapsed: 0.26h | time left: 5.95h
batch   2200 | examples/s: 9.60 | loss: 0.92230 | time elapsed: 0.27h | time left: 5.92h
batch   2300 | examples/s: 9.39 | loss: 1.26196 | time elapsed: 0.28h | time left: 5.90h
batch   2400 | examples/s: 9.69 | loss: 1.33110 | time elapsed: 0.29h | time left: 5.88h
batch   2500 | examples/s: 9.44 | loss: 0.93651 | time elapsed: 0.30h | time left: 5.86h
batch   2600 | examples/s: 9.41 | loss: 0.91082 | time elapsed: 0.32h | time left: 5.84h
batch   2700 | examples/s: 9.31 | loss: 0.99192 | time elapsed: 0.33h | time left: 5.82h
batch   2800 | examples/s: 9.52 | loss: 1.48061 | time elapsed: 0.34h | time left: 5.80h
batch   2900 | examples/s: 9.46 | loss: 1.04656 | time elapsed: 0.35h | time left: 5.79h
batch   3000 | examples/s: 9.59 | loss: 1.10080 | time elapsed: 0.36h | time left: 5.77h
batch   3100 | examples/s: 9.12 | loss: 1.25245 | time elapsed: 0.37h | time left: 5.75h
batch   3200 | examples/s: 9.61 | loss: 1.21150 | time elapsed: 0.39h | time left: 5.74h
batch   3300 | examples/s: 9.59 | loss: 1.34857 | time elapsed: 0.40h | time left: 5.72h
batch   3400 | examples/s: 9.32 | loss: 1.17190 | time elapsed: 0.41h | time left: 5.70h
batch   3500 | examples/s: 9.54 | loss: 0.99551 | time elapsed: 0.42h | time left: 5.69h
batch   3600 | examples/s: 9.38 | loss: 0.85730 | time elapsed: 0.43h | time left: 5.67h
batch   3700 | examples/s: 9.39 | loss: 0.81616 | time elapsed: 0.44h | time left: 5.66h
batch   3800 | examples/s: 9.32 | loss: 0.94977 | time elapsed: 0.46h | time left: 5.64h
batch   3900 | examples/s: 9.48 | loss: 1.49543 | time elapsed: 0.47h | time left: 5.63h
batch   4000 | examples/s: 9.65 | loss: 1.29963 | time elapsed: 0.48h | time left: 5.61h
batch   4100 | examples/s: 9.45 | loss: 0.99281 | time elapsed: 0.49h | time left: 5.60h
batch   4200 | examples/s: 9.47 | loss: 1.34438 | time elapsed: 0.50h | time left: 5.58h
batch   4300 | examples/s: 9.50 | loss: 1.39676 | time elapsed: 0.52h | time left: 5.57h
batch   4400 | examples/s: 9.68 | loss: 1.51461 | time elapsed: 0.53h | time left: 5.55h
batch   4500 | examples/s: 9.52 | loss: 1.17453 | time elapsed: 0.54h | time left: 5.54h
batch   4600 | examples/s: 9.50 | loss: 1.58803 | time elapsed: 0.55h | time left: 5.52h
batch   4700 | examples/s: 9.57 | loss: 1.16524 | time elapsed: 0.56h | time left: 5.51h
batch   4800 | examples/s: 9.71 | loss: 1.00000 | time elapsed: 0.57h | time left: 5.50h
batch   4900 | examples/s: 9.72 | loss: 1.18132 | time elapsed: 0.59h | time left: 5.48h
batch   5000 | examples/s: 9.73 | loss: 0.70583 | time elapsed: 0.60h | time left: 5.47h
batch   5100 | examples/s: 9.36 | loss: 1.01555 | time elapsed: 0.61h | time left: 5.46h
batch   5200 | examples/s: 9.55 | loss: 1.41437 | time elapsed: 0.62h | time left: 5.45h
batch   5300 | examples/s: 9.50 | loss: 0.95934 | time elapsed: 0.63h | time left: 5.43h
batch   5400 | examples/s: 9.49 | loss: 1.37833 | time elapsed: 0.65h | time left: 5.42h
batch   5500 | examples/s: 9.63 | loss: 0.91313 | time elapsed: 0.66h | time left: 5.41h
batch   5600 | examples/s: 9.37 | loss: 1.61915 | time elapsed: 0.67h | time left: 5.39h
batch   5700 | examples/s: 9.55 | loss: 1.53824 | time elapsed: 0.68h | time left: 5.38h
batch   5800 | examples/s: 9.60 | loss: 1.47609 | time elapsed: 0.69h | time left: 5.37h
batch   5900 | examples/s: 9.54 | loss: 1.40426 | time elapsed: 0.70h | time left: 5.35h
batch   6000 | examples/s: 9.53 | loss: 0.83058 | time elapsed: 0.72h | time left: 5.34h
batch   6100 | examples/s: 9.52 | loss: 0.92954 | time elapsed: 0.73h | time left: 5.33h
batch   6200 | examples/s: 9.43 | loss: 1.33259 | time elapsed: 0.74h | time left: 5.31h
batch   6300 | examples/s: 9.49 | loss: 1.50718 | time elapsed: 0.75h | time left: 5.30h
batch   6400 | examples/s: 9.36 | loss: 1.23178 | time elapsed: 0.76h | time left: 5.29h
batch   6500 | examples/s: 9.47 | loss: 1.41208 | time elapsed: 0.77h | time left: 5.27h
batch   6600 | examples/s: 9.47 | loss: 0.78854 | time elapsed: 0.79h | time left: 5.26h
batch   6700 | examples/s: 9.50 | loss: 1.10620 | time elapsed: 0.80h | time left: 5.25h
batch   6800 | examples/s: 9.47 | loss: 1.33932 | time elapsed: 0.81h | time left: 5.24h
batch   6900 | examples/s: 9.43 | loss: 1.23505 | time elapsed: 0.82h | time left: 5.22h
batch   7000 | examples/s: 9.43 | loss: 1.34593 | time elapsed: 0.83h | time left: 5.21h
batch   7100 | examples/s: 9.30 | loss: 0.89800 | time elapsed: 0.85h | time left: 5.20h
batch   7200 | examples/s: 9.54 | loss: 1.13549 | time elapsed: 0.86h | time left: 5.18h
batch   7300 | examples/s: 9.39 | loss: 1.09946 | time elapsed: 0.87h | time left: 5.17h
batch   7400 | examples/s: 9.32 | loss: 1.11794 | time elapsed: 0.88h | time left: 5.16h
batch   7500 | examples/s: 9.44 | loss: 1.22730 | time elapsed: 0.89h | time left: 5.15h
batch   7600 | examples/s: 9.46 | loss: 1.19428 | time elapsed: 0.90h | time left: 5.13h
batch   7700 | examples/s: 9.47 | loss: 1.27096 | time elapsed: 0.92h | time left: 5.12h
batch   7800 | examples/s: 9.52 | loss: 2.00732 | time elapsed: 0.93h | time left: 5.11h
batch   7900 | examples/s: 9.59 | loss: 1.30460 | time elapsed: 0.94h | time left: 5.10h
batch   8000 | examples/s: 9.76 | loss: 1.09045 | time elapsed: 0.95h | time left: 5.08h
batch   8100 | examples/s: 9.53 | loss: 1.10774 | time elapsed: 0.96h | time left: 5.07h
batch   8200 | examples/s: 9.38 | loss: 1.05181 | time elapsed: 0.97h | time left: 5.06h
batch   8300 | examples/s: 9.51 | loss: 0.78881 | time elapsed: 0.99h | time left: 5.04h
batch   8400 | examples/s: 9.54 | loss: 1.79090 | time elapsed: 1.00h | time left: 5.03h
batch   8500 | examples/s: 9.52 | loss: 0.97175 | time elapsed: 1.01h | time left: 5.02h
batch   8600 | examples/s: 9.52 | loss: 0.95721 | time elapsed: 1.02h | time left: 5.01h
batch   8700 | examples/s: 9.82 | loss: 1.92796 | time elapsed: 1.03h | time left: 5.00h
batch   8800 | examples/s: 9.48 | loss: 1.25331 | time elapsed: 1.05h | time left: 4.98h
batch   8900 | examples/s: 9.16 | loss: 1.04953 | time elapsed: 1.06h | time left: 4.97h
batch   9000 | examples/s: 9.46 | loss: 1.26383 | time elapsed: 1.07h | time left: 4.96h
batch   9100 | examples/s: 9.65 | loss: 1.05264 | time elapsed: 1.08h | time left: 4.95h
batch   9200 | examples/s: 9.42 | loss: 1.12624 | time elapsed: 1.09h | time left: 4.93h
batch   9300 | examples/s: 9.37 | loss: 1.42763 | time elapsed: 1.10h | time left: 4.92h
batch   9400 | examples/s: 9.26 | loss: 0.96267 | time elapsed: 1.12h | time left: 4.91h
batch   9500 | examples/s: 9.33 | loss: 1.14907 | time elapsed: 1.13h | time left: 4.90h
batch   9600 | examples/s: 9.41 | loss: 1.65196 | time elapsed: 1.14h | time left: 4.88h
batch   9700 | examples/s: 9.65 | loss: 1.13437 | time elapsed: 1.15h | time left: 4.87h
batch   9800 | examples/s: 9.32 | loss: 0.99347 | time elapsed: 1.16h | time left: 4.86h
